Country,Country stats,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Nigeria,Population,190.9,196,201,206,211,216,221,227,232,238,243,249,255,261,267,273,280,286,293,299,306,312,319,326,333,340,347,354,361,368,375
Kenya,Population,49.7,51,52,53,54,56,57,58,59,61,62,63,64,66,67,68,70,71,72,73,75,76,77,79,80,81,82,84,85,86,87
Ghana,Population,28.8,29,30,31,31,32,32,33,34,34,35,35,36,37,37,38,39,39,40,40,41,42,42,43,44,44,45,46,46,47,48
Senegal,Population,15.9,16,17,17,18,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,28,28,29,29,30,30,31
Cote d'Ivoire,Population,24.3,25,26,26,27,27,28,29,29,30,31,32,32,33,34,35,35,36,37,38,38,39,40,41,42,43,44,44,45,46,47
Egypt,Population,97.6,99,101,102,104,105,107,108,110,112,113,115,116,118,119,121,123,124,126,128,129,131,132,134,136,137,138,140,141,143,144
South Africa,Population,56.7,57,58,58,59,60,60,61,61,62,62,63,63,63,64,64,65,65,66,66,66,67,67,68,68,68,69,69,69,70,70
Sudan,Population,40.5,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,66,67,68,69,70,71,73,74
"Congo, Republic",Population,5.3,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11
Zambia,Population,17.1,18,18,19,19,20,20,21,21,22,23,23,24,24,25,26,26,27,28,29,29,30,31,31,32,33,34,34,35,36,37
Cameroon,Population,24.1,25,25,26,27,27,28,28,29,30,30,31,32,33,33,34,35,35,36,37,38,38,39,40,41,42,42,43,44,45,46
Nigeria,Income level,$175,$186,$197,$209,$222,$236,$251,$267,$284,$302,$321,$341,$363,$387,$412,$438,$467,$498,$531,$566,$604,$645,$689,$736,$787,$841,$900,$964,"$1,033","$1,107","$1,186"
Kenya,Income level,$122,$129,$138,$146,$156,$166,$177,$188,$201,$214,$228,$244,$260,$278,$297,$318,$340,$364,$390,$418,$449,$482,$518,$556,$598,$643,$693,$747,$806,$870,$939
Ghana,Income level,$157,$167,$179,$191,$204,$218,$233,$250,$267,$286,$307,$329,$354,$380,$408,$439,$473,$510,$550,$593,$640,$693,$750,$813,$882,$959,"$1,043","$1,137","$1,242","$1,357","$1,487"
Senegal,Income level,$103,$110,$116,$123,$131,$139,$147,$157,$167,$177,$188,$200,$213,$227,$242,$258,$275,$293,$313,$334,$356,$381,$407,$436,$466,$499,$535,$574,$615,$660,$709
Cote d'Ivoire,Income level,$132,$140,$149,$158,$168,$178,$190,$202,$215,$229,$244,$260,$277,$295,$315,$336,$359,$383,$410,$438,$469,$502,$537,$576,$618,$662,$712,$765,$823,$885,$953
Egypt,Income level,$251,$269,$289,$311,$334,$360,$388,$419,$453,$490,$530,$575,$624,$678,$738,$805,$879,$962,"$1,055","$1,160","$1,279","$1,415","$1,571","$1,751","$1,960","$2,204","$2,493","$2,839","$3,256","$3,766","$4,397"
South Africa,Income level,$453,$488,$528,$571,$618,$669,$726,$788,$855,$929,"$1,010","$1,100","$1,199","$1,308","$1,428","$1,560","$1,707","$1,869","$2,050","$2,250","$2,473","$2,724","$3,004","$3,318","$3,670","$4,067","$4,517","$5,028","$5,608","$6,270","$7,028"
Sudan,Income level,$198,$211,$225,$239,$255,$272,$290,$310,$331,$354,$378,$404,$433,$464,$497,$533,$573,$616,$662,$713,$768,$829,$895,$968,"$1,047","$1,134","$1,231","$1,338","$1,457","$1,587","$1,732"
"Congo, Republic",Income level,$119,$126,$134,$142,$151,$161,$171,$181,$193,$205,$218,$231,$246,$262,$279,$297,$316,$337,$359,$383,$408,$436,$466,$499,$533,$571,$611,$655,$703,$754,$810
Zambia,Income level,$108,$114,$120,$127,$134,$142,$150,$159,$168,$178,$189,$200,$212,$225,$238,$253,$269,$285,$303,$322,$342,$364,$387,$412,$438,$466,$497,$530,$565,$602,$642
Cameroon,Income level,$114,$121,$129,$137,$145,$155,$165,$175,$186,$199,$211,$225,$240,$256,$274,$292,$312,$334,$357,$382,$409,$438,$470,$504,$541,$581,$625,$672,$724,$780,$842
Nigeria,Median age,18.7,18.7,18.7,18.7,18.7,19.3,19.3,19.3,19.3,19.3,20.2,20.2,20.2,20.2,20.2,21.3,21.3,21.3,21.3,21.3,22.3,22.3,22.3,22.3,22.3,23.3,23.3,23.3,23.3,23.3,24.2
Kenya,Median age,19.6,19.6,19.6,19.6,19.6,20.4,20.4,20.4,20.4,20.4,21.2,21.2,21.2,21.2,21.2,22.1,22.1,22.1,22.1,22.1,23,23,23,23,23,23.9,23.9,23.9,23.9,23.9,24.9
Ghana,Median age,19,19,19,19,19,19.6,19.6,19.6,19.6,19.6,20.4,20.4,20.4,20.4,20.4,21.3,21.3,21.3,21.3,21.3,22.3,22.3,22.3,22.3,22.3,23.3,23.3,23.3,23.3,23.3,24.3
Senegal,Median age,19.1,19.1,19.1,19.1,19.1,20,20,20,20,20,21.2,21.2,21.2,21.2,21.2,22.4,22.4,22.4,22.4,22.4,23.7,23.7,23.7,23.7,23.7,24.9,24.9,24.9,24.9,24.9,26.3
Cote d'Ivoire,Median age,17.5,17.5,17.5,17.5,17.5,18.2,18.2,18.2,18.2,18.2,19.1,19.1,19.1,19.1,19.1,20,20,20,20,20,21.2,21.2,21.2,21.2,21.2,22.3,22.3,22.3,22.3,22.3,23.6
Egypt,Median age,29,29,29,29,29,30.8,30.8,30.8,30.8,30.8,32.5,32.5,32.5,32.5,32.5,34.2,34.2,34.2,34.2,34.2,35.8,35.8,35.8,35.8,35.8,37.4,37.4,37.4,37.4,37.4,38.9
